train_number,train_name,current_station,station_index,delay_minutes,weather,speed_multiplier
12000,New Mumbai Duronto Express,KOTA,1,29,Rainy,1.06
12001,Mumbai New Express,KOTA,3,6,Partly Cloudy,0.89
12002,New Mumbai Shatabdi Express,NDLS,0,19,Partly Cloudy,1.14
12003,Mumbai New Superfast Express,RTM,1,2,Partly Cloudy,1.16
12004,New Mumbai Express,BRC,4,4,Rainy,0.86
12005,Mumbai New Shatabdi Express,KOTA,5,1,Clear,0.83
12006,Mumbai New Duronto Express,KOTA,3,6,Clear,1.14
12007,New Mumbai Rajdhani Express,NDLS,0,11,Partly Cloudy,1.18
12008,New Chennai Rajdhani Express,JHS,1,22,Clear,0.95
12009,Chennai New Express,HYB,1,13,Clear,0.95
12010,New Chennai Express,HYB,2,8,Rainy,0.96
12011,Chennai New Duronto Express,MAS,0,28,Cloudy,1.16
12012,New Chennai Superfast Express,SUR,2,9,Partly Cloudy,1.19
12013,New Howrah Express,NDLS,0,25,Partly Cloudy,1.06
12014,Howrah New Rajdhani Express,CNB,3,28,Clear,0.89
12015,New Howrah Shatabdi Express,CNB,1,22,Clear,1.0
12016,Howrah New Shatabdi Express,CNB,2,20,Cloudy,1.03
12017,Howrah New Express,PNBE,1,16,Rainy,1.13
12018,New Howrah Duronto Express,LKO,1,10,Rainy,0.87
12019,New Howrah Rajdhani Express,ALD,2,11,Clear,0.9
12020,Sealdah New Duronto Express,SDAH,0,11,Partly Cloudy,0.84
12021,New Sealdah Express,NDLS,0,14,Clear,1.18
12022,Sealdah New Express,SDAH,0,10,Cloudy,1.09
12023,New Sealdah Rajdhani Express,NDLS,0,1,Rainy,1.15
12024,New Sealdah Duronto Express,NDLS,0,1,Clear,1.1
12025,Howrah Barauni Express,MFP,5,5,Rainy,1.09
12026,Barauni Howrah Express,BJU,0,20,Partly Cloudy,0.93
12027,Barauni Howrah Shatabdi Express,BJU,0,22,Clear,0.86
12028,Mumbai Bangalore Shatabdi Express,PUNE,2,20,Clear,1.07
12029,Bangalore Mumbai Rajdhani Express,SUR,3,4,Cloudy,1.07
12030,Mumbai Bangalore Express,BCT,0,7,Partly Cloudy,0.88
12031,Bangalore Mumbai Express,PUNE,1,0,Partly Cloudy,0.92
